656	785
708	940
208	642
208	642
601	1142
678	719
278	315
149	186
376	382
323	510
81	223
89	556
350	1075
461	496
50	1119
791	1015
44	413
61	481
282	1085
19	346
44	413
827	1108
1094	1163
282	1085
336	420
278	315
1094	1163
456	735
150	1073
269	754
606	690
495	988
163	435
97	384
781	1151
7	986
124	1017
1051	1166
708	940
350	1075
495	988
964	1064
447	485
656	785
594	1036
163	435
350	1075
373	786
396	560
317	359
217	370
181	335
781	1151
677	1133
175	358
292	1164
61	481
649	862
655	687
631	880
65	843
697	1022
631	880
475	584
898	1123
221	1011
297	521
373	786
882	966
285	492
19	346
317	359
50	1119
396	560
606	690
65	843
295	699
656	785
822	1068
495	988
830	977
292	1164
882	966
456	735
278	315
101	444
295	699
217	370
282	1085
1094	1163
282	1085
7	986
1156	1256
27	412
328	566
819	1183
84	499
830	977
655	687
101	444
1149	1204
123	973
50	1119
323	510
207	1205
49	242
336	420
708	940
396	560
61	481
505	796
56	109
285	492
678	719
65	843
882	966
297	521
822	1068
255	1058
461	496
44	413
1051	1166
1094	1163
89	556
323	510
678	719
376	382
909	1000
385	1253
101	444
285	492
677	1133
721	983
677	1133
495	988
376	382
181	335
32	1258
65	843
217	370
123	973
33	185
396	560
27	412
150	1073
882	966
150	1073
649	862
208	642
849	1194
14	1187
823	1184
1026	1041
606	690
373	786
61	481
112	326
208	642
781	1151
97	384
97	384
529	766
174	586
976	1081
655	687
978	1111
529	766
328	566
243	1201
597	1063
721	983
350	1075
97	384
